Designator,Mid X,Mid Y,Rotation,Layer
SW31,66.6625,-80.442,0.0,top
SW32,90.475,-80.442,0.0,top
SW33,109.525,-80.442,0.0,top
SW34,128.575,-80.442,0.0,top
SW35,147.625,-80.442,0.0,top
SW36,166.675,-80.442,0.0,top
SW37,185.725,-80.442,0.0,top
SW38,204.775,-80.442,0.0,top
SW39,223.825,-80.442,0.0,top
SW4,123.8125,-37.5795,0.0,top
SW40,242.875,-80.442,0.0,top
SW41,261.925,-80.442,0.0,top
SW42,280.975,-80.442,0.0,top
SW43,300.025,-80.442,0.0,top
SW44,323.8375,-80.442,0.0,top
SW45,347.65,-80.442,0.0,top
SW46,69.04375,-99.492,0.0,top
SW47,95.2375,-99.492,0.0,top
SW48,114.2875,-99.492,0.0,top
SW49,133.3375,-99.492,0.0,top
SW5,142.8625,-37.5795,0.0,top
SW50,152.3875,-99.492,0.0,top
SW51,171.4375,-99.492,0.0,top
SW52,190.4875,-99.492,0.0,top
SW53,209.5375,-99.492,0.0,top
SW54,228.5875,-99.492,0.0,top
SW55,247.6375,-99.492,0.0,top
SW56,266.6875,-99.492,0.0,top
SW57,285.7375,-99.492,0.0,top
SW58,316.69375,-99.492,0.0,top
SW59,347.65,-99.492,0.0,top
SW6,166.675,-37.5795,0.0,top
SW60,73.80625,-118.542,0.0,top
SW61,104.7625,-118.542,0.0,top
SW62,123.8125,-118.542,0.0,top
SW63,142.8625,-118.542,0.0,top
SW64,161.9125,-118.542,0.0,top
SW65,180.9625,-118.542,0.0,top
SW66,200.0125,-118.542,0.0,top
SW67,219.0625,-118.542,0.0,top
SW68,238.1125,-118.542,0.0,top
SW69,257.1625,-118.542,0.0,top
SW7,185.725,-37.5795,0.0,top
SW70,276.2125,-118.542,0.0,top
SW71,302.40625,-118.542,0.0,top
SW72,328.6,-118.542,0.0,top
SW73,347.65,-118.542,0.0,top
SW74,64.28125,-137.592,0.0,top
SW75,88.09375,-137.592,0.0,top
SW76,111.90625,-137.592,0.0,top
SW77,183.34375,-137.592,0.0,top
SW78,252.4,-137.592,0.0,top
SW79,271.45,-137.592,0.0,top
SW8,204.775,-37.5795,0.0,top
SW80,290.5,-137.592,0.0,top
SW81,309.55,-137.592,0.0,top
SW82,328.6,-137.592,0.0,top
SW83,347.65,-137.592,0.0,top
SW9,223.825,-37.5795,0.0,top
